id,survived,class,sex,age,sib_sp_onboard,par_ch_onboard,fare,cabin,port
1,FALSE,3,male,22,1,0,7.25,,S
2,TRUE,1,female,38,1,0,71.2833,C85,C
3,TRUE,3,female,26,0,0,7.925,,S
4,TRUE,1,female,35,1,0,53.1,C123,S
5,FALSE,3,male,35,0,0,8.05,,S
6,FALSE,3,male,NA,0,0,8.4583,,Q
7,FALSE,1,male,54,0,0,51.8625,E46,S
8,FALSE,3,male,2,3,1,21.075,,S
9,TRUE,3,female,27,0,2,11.1333,,S
10,TRUE,2,female,14,1,0,30.0708,,C
11,TRUE,3,female,4,1,1,16.7,G6,S
12,TRUE,1,female,58,0,0,26.55,C103,S
13,FALSE,3,male,20,0,0,8.05,,S
14,FALSE,3,male,39,1,5,31.275,,S
15,FALSE,3,female,14,0,0,7.8542,,S
16,TRUE,2,female,55,0,0,16,,S
17,FALSE,3,male,2,4,1,29.125,,Q
18,TRUE,2,male,NA,0,0,13,,S
19,FALSE,3,female,31,1,0,18,,S
20,TRUE,3,female,NA,0,0,7.225,,C
21,FALSE,2,male,35,0,0,26,,S
22,TRUE,2,male,34,0,0,13,D56,S
23,TRUE,3,female,15,0,0,8.0292,,Q
24,TRUE,1,male,28,0,0,35.5,A6,S
25,FALSE,3,female,8,3,1,21.075,,S
26,TRUE,3,female,38,1,5,31.3875,,S
27,FALSE,3,male,NA,0,0,7.225,,C
28,FALSE,1,male,19,3,2,263,C23 C25 C27,S
29,TRUE,3,female,NA,0,0,7.8792,,Q
30,FALSE,3,male,NA,0,0,7.8958,,S
31,FALSE,1,male,40,0,0,27.7208,,C
32,TRUE,1,female,NA,1,0,146.5208,B78,C
33,TRUE,3,female,NA,0,0,7.75,,Q
34,FALSE,2,male,66,0,0,10.5,,S
35,FALSE,1,male,28,1,0,82.1708,,C
36,FALSE,1,male,42,1,0,52,,S
37,TRUE,3,male,NA,0,0,7.2292,,C
38,FALSE,3,male,21,0,0,8.05,,S
39,FALSE,3,female,18,2,0,18,,S
40,TRUE,3,female,14,1,0,11.2417,,C
41,FALSE,3,female,40,1,0,9.475,,S
42,FALSE,2,female,27,1,0,21,,S
43,FALSE,3,male,NA,0,0,7.8958,,C
44,TRUE,2,female,3,1,2,41.5792,,C
45,TRUE,3,female,19,0,0,7.8792,,Q
46,FALSE,3,male,NA,0,0,8.05,,S
47,FALSE,3,male,NA,1,0,15.5,,Q
48,TRUE,3,female,NA,0,0,7.75,,Q
49,FALSE,3,male,NA,2,0,21.6792,,C
50,FALSE,3,female,18,1,0,17.8,,S
51,FALSE,3,male,7,4,1,39.6875,,S
52,FALSE,3,male,21,0,0,7.8,,S
53,TRUE,1,female,49,1,0,76.7292,D33,C
54,TRUE,2,female,29,1,0,26,,S
55,FALSE,1,male,65,0,1,61.9792,B30,C
56,TRUE,1,male,NA,0,0,35.5,C52,S
57,TRUE,2,female,21,0,0,10.5,,S
58,FALSE,3,male,28.5,0,0,7.2292,,C
59,TRUE,2,female,5,1,2,27.75,,S
60,FALSE,3,male,11,5,2,46.9,,S
61,FALSE,3,male,22,0,0,7.2292,,C
62,TRUE,1,female,38,0,0,80,B28,
63,FALSE,1,male,45,1,0,83.475,C83,S
64,FALSE,3,male,4,3,2,27.9,,S
65,FALSE,1,male,NA,0,0,27.7208,,C
66,TRUE,3,male,NA,1,1,15.2458,,C
67,TRUE,2,female,29,0,0,10.5,F33,S
68,FALSE,3,male,19,0,0,8.1583,,S
69,TRUE,3,female,17,4,2,7.925,,S
70,FALSE,3,male,26,2,0,8.6625,,S
71,FALSE,2,male,32,0,0,10.5,,S
72,FALSE,3,female,16,5,2,46.9,,S
73,FALSE,2,male,21,0,0,73.5,,S
74,FALSE,3,male,26,1,0,14.4542,,C
75,TRUE,3,male,32,0,0,56.4958,,S
76,FALSE,3,male,25,0,0,7.65,F G73,S
77,FALSE,3,male,NA,0,0,7.8958,,S
78,FALSE,3,male,NA,0,0,8.05,,S
79,TRUE,2,male,0.83,0,2,29,,S
80,TRUE,3,female,30,0,0,12.475,,S
81,FALSE,3,male,22,0,0,9,,S
82,TRUE,3,male,29,0,0,9.5,,S
83,TRUE,3,female,NA,0,0,7.7875,,Q
84,FALSE,1,male,28,0,0,47.1,,S
85,TRUE,2,female,17,0,0,10.5,,S
86,TRUE,3,female,33,3,0,15.85,,S
87,FALSE,3,male,16,1,3,34.375,,S
88,FALSE,3,male,NA,0,0,8.05,,S
89,TRUE,1,female,23,3,2,263,C23 C25 C27,S
90,FALSE,3,male,24,0,0,8.05,,S
91,FALSE,3,male,29,0,0,8.05,,S
